32 - Contraceptive prevalence among women who are married or in a union  aged 15-49

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,462,Maldives,2009,Female,34.7,-,-,1,1,Source: 2009 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,462,Maldives,2004,Female,39,-,-,1,1,Figures by method do not add up to the total.,Source: Maldives 2004 Reproductive Health Baseline Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,524,Nepal,2000,Female,37.3,-,-,1,1,Data pertain to a non-standard age or marital status group.,Source: Nepal 2000 BCHIMES,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,524,Nepal,1996,Female,28.5,-,-,1,1,Source: 1996 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,524,Nepal,2001,Female,39.3,-,-,1,1,Figures by method do not add up to the total.,Source: 2001 DHS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,524,Nepal,2006,Female,48,-,-,1,1,Source: 2006 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,524,Nepal,2011,Female,49.7,-,-,1,1,Source: 2011 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,524,Nepal,2014,Female,49.6,-,-,1,1,Source: 2014 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,1999,Female,17,-,-,1,1,Year of the survey: 1998 - 1999,Source: Pakistan 1998-1999 Integrated Household Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,2003,Female,32.1,-,-,1,1,Source: Pakistan 2003 Status of Women  Reproductive Health and Family Planning Survey,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,2008,Female,27,-,-,1,1,Year of the survey: 2007 - 2008,Adjusted.,Source: 2007 - 2008 LSMS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,2007,Female,29.6,-,-,1,1,Figures by method do not add up to the total.,Year of the survey: 2006 - 2007,Source: 2006 - 2007 DHS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,1996,Female,13,-,-,1,1,Year of the survey: 1995 - 1996,Source: Pakistan 1995-1996 Integrated Household Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,2001,Female,27.6,-,-,1,1,Figures by method do not add up to the total.,Year of the survey: 2000 - 2001,Source: Pakistan 2000-2001 Reproductive Health and Family Planning Survey,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,2006,Female,26,-,-,1,1,Source: 2005 - 2006 LSMS,Year of the survey: 2005 - 2006,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,1995,Female,17.8,-,-,1,1,Year of the survey: 1994 - 1995,Source: Pakistan 1994-1995 Contraceptive Prevalence Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,1997,Female,23.9,-,-,1,1,Year of the survey: 1996 - 1997,Source: Pakistan 1996-1997 Fertility and Family Planning Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Southern Asia,586,Pakistan,2013,Female,35.4,-,-,1,1,Figures by method do not add up to the total.,Year of the survey: 2012 - 2013,Source: 2012 - 2013 DHS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,8,Albania,2000,Female,57.5,-,-,1,1,Source: 2000 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,8,Albania,2005,Female,60.1,-,-,1,1,Figures by method do not add up to the total.,Source: 2005 MICS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,8,Albania,2009,Female,69.3,-,-,1,1,Year of the survey: 2008 - 2009,Source: 2008 - 2009 DHS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,8,Albania,2002,Female,75.1,-,-,1,1,Data pertain to women aged 15 to 44.,Source: 2002 RHS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,36,Australia,2005,Female,72.3,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 44.,Source: Australia 2005-2006 HILDA,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,36,Australia,1995,Female,66.7,-,-,1,1,Data pertain to a non-standard age or marital status group.,Source: Australia 1995 National Health Survey,Data pertain to women aged 18 to 49.,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,36,Australia,2002,Female,70.8,-,-,1,1,Figures by method do not add up to the total.,Data pertain to a non-standard age or marital status group.,Year of the survey: 2001 - 2002,Source: Australia 2001-2002 Study of Health and Relationships,Data pertain to women aged 16 to 59.,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,40,Austria,2009,Female,69.6,-,-,1,1,Year of the survey: 2008 - 2009,Data pertain to a non-standard age or marital status group.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2008 - 2009 GGS,Data pertain to women aged 18 to 46.,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,40,Austria,1996,Female,50.9,-,-,1,1,Adjusted.,Data pertain to women aged 20 to 49.,Source: 1995 - 1996 FFS,Year of the survey: 1995 - 1996,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,56,Belgium,2010,Female,70.4,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2008 - 2010 GGS,Year of the survey: 2008 - 2010,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,56,Belgium,2001,Female,75.6,-,-,1,1,Figures by method do not add up to the total.,Data pertain to a non-standard age or marital status group.,Data pertain to a specified time period for current use of contraception.,Source: Belgium 2001 Enqu̻te de Sant̩,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,56,Belgium,2004,Female,74.6,-,-,1,1,Figures by method do not add up to the total.,Data pertain to a non-standard age or marital status group.,Data pertain to a specified time period for current use of contraception.,Source: Belgium 2004 Enqu̻te de Sant̩,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,56,Belgium,1997,Female,56.5,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 15 to 54.,Source: Belgium 1997 Enqu̻te de Sant̩,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,70,Bosnia and Herzegovina,2000,Female,47.5,-,-,1,1,Source: 2000 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,70,Bosnia and Herzegovina,2006,Female,35.7,-,-,1,1,Source: 2006 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,70,Bosnia and Herzegovina,2012,Female,45.8,-,-,1,1,Source: 2011 - 2012 MICS,Year of the survey: 2011 - 2012,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,100,Bulgaria,2005,Female,64.4,-,-,1,1,Data pertain to a non-standard age or marital status group.,Year of the survey: 2004 - 2005,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2004 - 2005 GGS,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,100,Bulgaria,2007,Female,69.2,-,-,1,1,Data pertain to a non-standard age or marital status group.,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women aged 20 to 49.,Source: 2007 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,100,Bulgaria,1998,Female,63.4,-,-,1,1,Adjusted.,Source: 1997 - 1998 FFS,Data pertain to women aged 20 to 44.,Year of the survey: 1997 - 1998,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,100,Bulgaria,1995,Female,85.9,-,-,1,1,Data pertain to women aged 15 to 44.,Source: Bulgaria 1995 Women in the Transition Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,112,Belarus,2005,Female,72.6,-,-,1,1,Source: 2005 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,112,Belarus,1995,Female,50.4,-,-,1,1,Data pertain to women aged 18 to 34.,Source: Belarus 1995 World Bank Survey of Married Women 18-34,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,112,Belarus,2012,Female,63.1,-,-,1,1,Source: 2012 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,124,Canada,1998,Female,80,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged 18 to 44.,Source: Canada 1998 Contraceptive Studies,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,124,Canada,1995,Female,74.7,-,-,1,1,Source: 1995 FFS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,124,Canada,2002,Female,74,-,-,1,1,Figures by method do not add up to the total.,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 44.,Source: Canada 2002 Contraceptive Studies,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,203,Czech Republic,2008,Female,86.3,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 44.,Source: 2008 GGS,May include emergency contraception  female condom and modern methods not reported separately.,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,203,Czech Republic,2005,Female,78.2,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 44.,May include emergency contraception  female condom and modern methods not reported separately.,Source: 2005 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,203,Czech Republic,1997,Female,72,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged 15 to 44.,Source: 1997 FFS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,233,Estonia,2005,Female,63.4,-,-,1,1,Data pertain to a non-standard age or marital status group.,Year of the survey: 2004 - 2005,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2004 - 2005 GGS,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,250,France,2008,Female,76.4,-,-,1,1,Data pertain to a non-standard age or marital status group.,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women aged 20 to 49.,Source: 2008 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,250,France,2000,Female,81.8,-,-,1,1,Data pertain to women aged 18 to 44.,Including some cases of sterilization for non-contraceptive reasons.,Source: France 2000 Enqu̻te Cohorte Contraception,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,250,France,2005,Female,74.8,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2005 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,250,France,2004,Female,76.6,-,-,1,1,Year of the survey: 2004 - 2005,Including some cases of sterilization for non-contraceptive reasons.,Source: France 2005 Enqu̻te du Barom̬tre Sant̩,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,276,Germany,2005,Female,66.2,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2005 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,300,Greece,1999,Female,61.3,-,-,1,1,Data pertain to a non-standard age or marital status group.,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women aged 20 to 49.,Source: 1999 FFS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,300,Greece,2001,Female,76.2,-,-,1,1,Adjusted.,Data pertain to a non-standard age or marital status group.,Source: Greece 2001 Family planning survey,Data pertain to women aged 16 to 45.,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,372,Ireland,2005,Female,64.8,-,-,1,1,Figures by method do not add up to the total.,Year of the survey: 2004 - 2005,Data pertain to women aged 18 to 49.,Source: Ireland 2004-2005 SSHR,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,372,Ireland,1998,Female,77,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 50.,Source: Ireland 1998 Survey of Lifestyle  Attitudes  and Nutrition,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,372,Ireland,2002,Female,75,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 50.,Source: Ireland 2002 Survey of Lifestyle  Attitudes  and Nutrition,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,380,Italy,1996,Female,62.7,-,-,1,1,Adjusted.,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women aged 20 to 49.,Source: 1995 - 1996 FFS,Year of the survey: 1995 - 1996,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,392,Japan,2000,Female,55.9,-,-,1,1,Figures by method do not add up to the total.,Source: Japan 2000 25th National Survey on Family Planning,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,392,Japan,2005,Female,54.3,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged 20 to 49.,Source: Japan 2005 13th National Fertility Survey,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,392,Japan,1996,Female,56.6,-,-,1,1,Figures by method do not add up to the total.,Source: Japan 1996 23th National Survey on Family Planning,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,392,Japan,1998,Female,54.1,-,-,1,1,Figures by method do not add up to the total.,Source: Japan 1998 24th National Survey on Family Planning,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,392,Japan,2004,Female,52,-,-,1,1,Figures by method do not add up to the total.,Source: Japan 2004 1st Survey on Population  Family and Generation 2004,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,392,Japan,1997,Female,60.4,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged 20 to 49.,Source: Japan 1997 11th National Fertility Survey,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,428,Latvia,1995,Female,67.8,-,-,1,1,Adjusted.,Data pertain to women aged 18 to 49.,Source: 1995 FFS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,440,Lithuania,2006,Female,62.9,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2006 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,440,Lithuania,1995,Female,50.7,-,-,1,1,Adjusted.,Data pertain to women aged 18 to 49.,Year of the survey: 1994 - 1995,Source: 1994 - 1995 FFS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,498,Republic of Moldova,2000,Female,62.4,-,-,1,1,Source: 2000 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,498,Republic of Moldova,2005,Female,67.8,-,-,1,1,Source: 2005 DHS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,498,Republic of Moldova,1997,Female,73.7,-,-,1,1,Data pertain to women aged 15 to 44.,Data pertain to a non-standard age or marital status group.,Source: 1997 RHS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,498,Republic of Moldova,2012,Female,59.5,-,-,1,1,Source: 2012 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,499,Montenegro,2000,Female,52.7,-,-,1,1,Adjusted.,Source: 2000 MICS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,499,Montenegro,2006,Female,39.4,-,-,1,1,Figures by method do not add up to the total.,Year of the survey: 2005 - 2006,Source: 2005 - 2006 MICS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,499,Montenegro,2013,Female,23.3,-,-,1,1,Source: 2013 MICS,-,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,528,Netherlands,2003,Female,67,-,-,1,1,Data pertain to women aged 18 to 45.,Source: Netherlands 2003 Birth Control Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,528,Netherlands,2008,Female,69,-,-,1,1,Source: Netherlands 2008 Birth Control Survey,Data pertain to women aged 18 to 45.,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,528,Netherlands,1998,Female,71,-,-,1,1,Data pertain to women aged 18 to 45.,Source: Netherlands 1998 Birth Control Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,554,New Zealand,1995,Female,75,-,-,1,1,Adjusted.,Data pertain to women aged 20 to 49.,Source: 1995 FFS,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,578,Norway,2005,Female,88.4,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 20 to 44.,Source: Norway 2005 Survey on Contraceptive Use,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,578,Norway,1998,Female,86.5,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 20 to 44.,Source: Norway 1998 Survey on Contraceptive Use,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,620,Portugal,2006,Female,86.8,-,-,1,1,Figures by method do not add up to the total.,Data pertain to a non-standard age or marital status group.,Year of the survey: 2005 - 2006,Source: Portugal 2005-2006 Inqu̩rito Nacional de Sa̼de,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,620,Portugal,1997,Female,78.8,-,-,1,1,Data pertain to a non-standard age or marital status group.,Source: 1997 FFS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,642,Romania,1999,Female,63.8,-,-,1,1,Data pertain to women aged 15 to 44.,Source: 1999 RHS,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,642,Romania,2005,Female,69.8,-,-,1,1,Data pertain to a non-standard age or marital status group.,Data pertain to women aged 18 to 49.,Including some cases of sterilization for non-contraceptive reasons.,Source: 2005 GGS,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,642,Romania,2004,Female,70.3,-,-,1,1,Data pertain to women aged 15 to 44.,Source: Romania 2004 Reproductive and Health Survey,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,643,Russian Federation,2007,Female,79.5,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged less than 50.,Data pertain to a non-standard age or marital status group.,Source: Russia 2007 Parents and Children  Men and Women in Family and Society,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,643,Russian Federation,1996,Female,65.3,-,-,1,1,Data pertain to women aged 20 to 49.,Source: Russian Federation 1996 Longitudinal Monitoring Survey Round VII,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,643,Russian Federation,2004,Female,83.8,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged less than 50.,Data pertain to a non-standard age or marital status group.,Source: Russia 2004 Parents and Children  Men and Women in Family and Society,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,643,Russian Federation,1995,Female,63.4,-,-,1,1,Data pertain to women aged 20 to 49.,Source: Russian Federation 1995 Longitudinal Monitoring Survey Round VI,-,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,643,Russian Federation,2011,Female,68,-,-,1,1,Figures by method do not add up to the total.,Data pertain to women aged 15 to 44.,Source: Russian Federation 2011 Reproductive Health Survey,-,-,-,-
Contraceptive prevalence among women who are married or in a union  aged 15-49,Developed regions,688,Serbia,2000,Female,58.7,-,-,1,1,Figures by method do not add up to the total.,Source: 2000 MICS,-,-,-,-,-
